No.,Date,,,Time,Location,,,Magnitude,,Ref.
,Y,M,D,,Lat.,Long.,Dept,mb,Ms,
1,1900,6,,,38.5,43.3,,,5,MEA
2,1900,7,12,,40.28,43.1,,,5.9,ULM
3,1901,4,3,57,40,44.3,15,,3.9,MEA
4,1902,,,,39,43.3,,,5,MEA
5,1902,2,13,93906,40.72,48.71,33,6,,B77
6,1902,2,21,,41.8,48.8,36,,5.6,ULM
7,1902,7,9,338,27.08,56.34,,,6.4,AMB
8,1902,9,5,433,39.5,48,20,,4.8,MEA
9,1902,10,3,2305,41.9,45.6,33,,5.2,KAR
10,1902,10,4,146,41.9,45.6,33,,4.9,KAR
11,1902,10,17,721,41.9,45.9,33,,5.2,KAR
12,1902,10,26,1137,39.7,47.8,14,,4.7,MEA
13,1902,12,2,47,40.7,48.7,33,,4.9,KAR
14,1902,12,4,2218,37.8,65.5,20,,4.7,MEA
15,1903,1,2,715,36.5,54.9,25,,5,MEA
16,1903,2,9,518,36.58,47.65,,,5.6,AMB
17,1903,3,22,1435,33.16,59.71,,,6.2,AMB
18,1903,4,19,,39.1,42.4,,,6.8,MEA
19,1903,4,28,2339,39.14,42.65,,6.4,7,A88
20,1903,5,28,358,40.9,42.75,,,5.8,A88
21,1903,6,3,1129,41.8,46.3,33,,4.9,KAR
22,1903,6,24,1656,37.48,48.96,,,5.9,AMB
23,1903,7,5,,41.799,48.7,40,,5.5,ULM
24,1903,7,8,443,41.4,44.5,33,,4.9,KAR
25,1903,7,9,1321,41.4,44.5,33,,5.2,KAR
26,1903,9,25,120,35.18,58.23,,5.3,5.9,AMB
27,1903,11,2,2212,41.1,47.2,33,,5.2,KAR
28,1904,3,20,95950,36.6,59.4,11,,5.6,MEA
29,1904,4,28,1525,40.6,48.6,33,,5.1,KAR
30,1904,7,5,2154,41,49,33,,5.5,KAR
31,1904,8,27,1609,42,42,33,,4.9,KAR
32,1904,11,9,328,36.94,59.77,,,6.4,AMB
33,1905,,,,38.7,43.3,,,5,MEA
34,1905,1,9,617,37,48.68,,,6.2,AMB
35,1905,2,3,300,41.1,42.7,33,,4.9,MEA
36,1905,2,3,329,41.1,42.7,10,,4.1,MEA
37,1905,4,25,1401,27.67,56.03,,,5.8,AMB
38,1905,6,19,127,29.89,59.98,,6.8,6,AMB
39,1905,10,16,300,40.6,43.1,33,,4.9,KAR
40,1906,,,,38.8,43.4,,,5,MEA
41,1906,2,20,2054,41.3,48.5,33,,5,KAR
42,1906,9,28,550,40.5,42.7,33,,6.2,KAR
43,1906,9,28,73050,40.6,43.1,9,,4.6,MEA
44,1906,10,20,1608,41.3,43.7,33,,5.2,MEA
45,1906,12,28,,40.5,42,33,,5.8,MEA
46,1906,12,30,2129,42,45.7,33,,4.4,KAR
47,1907,1,19,2211,40.8,46.1,33,,5.5,KAR
48,1907,1,27,,39.1,42.5,,,6.2,MEA
49,1907,1,29,,39.1,42.5,33,,4.9,KAR
50,1907,3,29,2057,34.7,60.2,33,,6.1,ULM
51,1907,3,29,1000,38.4,42.1,33,,4.9,KAR
52,1907,3,31,1414,39.1,42.5,33,,5.2,KAR
53,1907,4,12,20110,39.2,45.4,20,,4.2,MEA
54,1907,4,17,836,37.74,57.85,,,5.8,AMB
55,1907,7,4,912,27.18,56.28,,6,5.7,AMB
56,1907,10,23,2025,37.8,65.8,30,,6.2,MEA
57,1907,12,23,1425,38.7,46,21,,4.3,MEA
58,1908,7,26,332,34.59,61.49,,,5.3,AMB
59,1908,9,28,628,38,44,33,,6,KAR
60,1909,1,23,248,33.41,49.13,,7.2,7.4,AMB
61,1909,1,26,2256,39.1,45.5,33,,4.9,KAR
62,1909,2,6,2257,41.7,44.8,33,,4.9,KAR
63,1909,3,25,1546,41.6,44,33,,4.9,KAR
64,1909,4,11,402,36,45,33,,5.6,KAR
65,1909,10,27,1845,30.09,57.58,,,5.5,AMB
66,1909,11,1,916,33.2,49.4,,5.1,,B77
67,1910,1,18,335,40.7,46.3,33,,4.9,KAR
68,1910,1,25,154,40.2,44.5,33,,4.9,KAR
69,1910,3,8,225,40.8,44.5,33,,4.9,KAR
70,1910,4,10,1821,40.8,46.1,33,,4.9,KAR
71,1910,10,27,1845,30.09,57.58,15,,5.5,AMB
72,1910,12,4,1402,38.8,48.8,33,,5.1,KAR
73,1911,1,1,101743,38,66,50,7,7,ABE
74,1911,4,18,1814,31.23,57.03,,6.7,6.2,AMB
75,1911,4,29,533,30.36,57.58,,6.4,5.6,AMB
76,1911,6,7,235848,41,50.8,100,6.2,6.4,KAR
77,1911,9,13,322,27.67,54.44,,,5.5,AMB
78,1912,2,24,143638,37,59.5,10,,5.5,MEA
79,1912,6,7,131706,41.3,44.2,33,,4.8,KAR
80,1912,10,12,194857,41.4,43.7,28,,5.5,MEA
81,1913,1,27,193832,39.3,43,33,,5.6,KAR
82,1913,3,24,103400,26.8,53.7,15,,5.8,AMB
83,1913,3,25,1404,41.8,48.2,20,,5,KAR
84,1913,4,16,600,38.7,48.5,33,,5.2,KAR
85,1913,4,20,31336,41.2,43.9,33,,5.6,KAR
86,1913,4,25,41300,39.5,58,,,5,MOF
87,1913,11,12,42856,38.8,45.8,25,,5,MEA
88,1914,2,6,1142,28.67,64.75,,5.9,,AMB
89,1914,11,1,215326,38.4,45.4,33,,4.4,KAR
90,1914,12,3,233932,41,43.9,21,,4,MEA
91,1915,1,21,2220,41,47,33,,5.2,KAR
92,1915,2,14,82006,38.8,42.5,33,,5.6,KAR
93,1915,2,28,124724,37.7,43.1,33,,5.3,KAR
94,1915,4,1,54142,40.5,44.5,33,,5.2,KAR
95,1915,10,6,100,41,48,33,,4.7,KAR
96,1916,2,11,205320,36,59.5,7,,4.6,MEA
97,1916,5,14,1211,40.2,47.2,80,,5.2,KAR
98,1916,6,2,,40.5,52.3,15,,5.3,ULM
99,1916,9,11,306,39.5,45.5,30,,4.4,MEA
100,1916,10,11,305,39.5,45.5,30,,4.3,MEA
101,1916,10,28,2048,40.1,44.1,20,,4.7,MEA
102,1916,11,14,1354,40.9,44.3,33,,5.1,KAR
103,1917,6,2,2805,38,48.5,30,,4.7,MEA
104,1917,7,15,1758,33.48,45.82,,6.3,5.6,AMB
105,1917,7,15,212210,33.5,46.5,,,,ISS
106,1917,7,24,161240,33.5,46.5,,,,ISS
107,1917,8,29,13,37.37,58.05,,,5.7,AMB
108,1917,10,24,11,36.94,54.31,,,5.3,AMB
109,1917,11,23,41730,33.5,46.5,,,,ISS
110,1917,11,24,195740,33.5,46.5,,,,ISS
111,1917,11,28,1442,37.18,57.88,,,5.9,AMB
112,1917,11,28,174345,36.5,58.4,10,,5,MEA
113,1918,2,5,,37.6,57.3,10,,5.5,ULM
114,1918,3,24,2314,35.08,60.69,,6.3,5.9,AMB
115,1919,1,8,101253,40,47,33,,5.4,KAR
116,1919,5,12,2230,36.19,44.01,,,5.7,AMB
117,1919,7,14,1422,40,60,,,,ISS
118,1919,10,24,2032,26.11,62.05,,,5.6,AMB
119,1920,2,20,130,42,44.1,33,,4.9,KAR
120,1920,2,20,1144,42,44.1,,6.6,6.2,A88
121,1920,5,25,113955,33.5,46.5,,,,ISS
122,1920,10,14,,36.2,44,,,4.4,KAR
123,1921,12,6,132707,41.9,43.8,33,,5.2,KAR
124,1922,3,21,165612,33,50,,,,ISS
125,1923,2,4,,37.6,57.3,10,,5.4,MEA
126,1923,5,12,225723,40.5,45,33,,5.2,KAR
127,1923,5,13,,39.7,42.8,33,,5.3,ULM
128,1923,5,25,2221,35.19,59.11,,,5.8,AMB
129,1923,6,18,41840,34.8,46,,,,ISS
130,1923,9,14,810,28.97,59.33,,,5.6,AMB
131,1923,9,17,709,37.63,57.21,,6.1,6.3,AMB
132,1923,9,22,2047,29.51,56.63,,6.9,6.7,AMB
133,1923,9,23,31858,29.5,56,,,,ISS
134,1923,11,29,336,33.62,59.4,,,,AMB
135,1923,12,12,33755,41.4,43.5,16,,,MEA
136,1924,1,1,151700,38.2,60.6,,,,MOF
137,1924,1,18,145620,29.5,56,,,,ISS
138,1924,2,1,115648,40.7,43.8,16,,,MEA
139,1924,2,19,701,39,48.32,,6.8,5.9,AMB
140,1924,5,13,15233,39.7,42.8,33,,5.3,KAR
141,1924,6,30,341,27.5,53.8,,,5.8,AMB
142,1924,7,3,80830,35.5,55,,,,ISS
143,1924,7,3,81850,35.5,55,,,,ISS
144,1924,7,25,213924,38,43,33,,4.9,KAR
145,1924,9,6,45056,39.1,42.6,33,,4.8,KAR
146,1924,9,13,1434,40.05,42.3,,7.5,6.8,A88
147,1924,9,13,153720,40,42,,,,ISS
148,1924,9,13,2045,40,42,,,,ISS
149,1924,9,13,2303,38.5,42.4,33,,4.9,KAR
150,1924,9,16,213736,40,42,33,,4.9,KAR
151,1924,9,16,213736,40,42,,,,ISS
152,1924,9,20,,40,42,33,,5.5,KAR
153,1924,9,22,742,40,42,33,,5.5,KAR
154,1924,9,23,230250,40,42,,,4.5,MEA
155,1924,9,27,42736,39.5,43.9,33,,5.2,KAR
156,1924,9,27,1012,37,53,16,,4.9,MEA
157,1924,10,9,5,40.5,48.5,33,,4.6,KAR
158,1924,11,8,90500,35.5,48,,,5.5,MOF
159,1924,11,8,174520,35.5,48,,,5,MOF
160,1924,11,10,210856,35.5,48,,,5,MOF
161,1924,11,10,215456,35.5,48,,,5.5,MOF
162,1924,11,11,155340,35.5,48,,,5,MOF
163,1924,11,12,92820,35.5,48,,,4,MOF
164,1924,12,11,2301,25.2,56.8,,,,ISS
165,1925,1,9,173820,41,43,33,,5.8,KAR
166,1925,2,8,,41.1,42.7,33,,5.5,KAR
167,1925,2,12,62830,41.5,43.5,33,,5.1,KAR
168,1925,3,12,12200,40,42,33,,5.2,KAR
169,1925,3,12,112012,39,55,,,,ISS
170,1925,5,2,25733,35.21,60.05,33,,4.7,MOF
171,1925,5,13,225117,41.3,43.6,33,,5.2,KAR
172,1925,5,28,31915,22,63,,,,ISS
173,1925,7,11,215222,29.5,59.5,,,,ISS
174,1925,7,30,184316,28.54,51.82,33,5.3,,MOF
175,1925,9,24,438,26.6,55.4,,6.1,5.5,AMB
176,1925,12,10,45932,37.2,57.8,12,,5.4,MEA
177,1925,12,14,,34.6,58.1,,,5.5,MEA
178,1925,12,18,55320,28.54,51.21,,5.6,,B77
179,1925,12,18,181800,36.8,62.5,,,5,MOF
180,1926,4,2,1156,35,44,33,,4.6,KAR
181,1926,4,23,13130,27.5,55,,,,ISS
182,1926,5,19,211355,26.5,59,,,5.4,MEA
183,1926,7,8,155912,39.7,44,33,,4.5,KAR
184,1926,9,27,64312,42,48.8,33,,4.9,KAR
185,1926,10,22,164405,40.7,43.7,33,,5.2,KAR
186,1926,10,22,195920,40.7,43.8,7,,5.7,KAR
187,1926,10,27,2120,40.6,43.8,20,,4,MEA
188,1927,3,25,1814,37.7,58.5,14,,4.3,MEA
189,1927,5,9,1031,27.68,56.7,,6.4,5.8,AMB
190,1927,5,14,202915,41.5,46,4,,4.6,KAR
191,1927,7,7,2006,27,62.26,,6.4,5.7,AMB
192,1927,7,11,161200,36.7,63,,,4.2,MOF
193,1927,7,22,355,34.9,52.9,,6.9,6.3,AMB
194,1927,7,30,40440,28.7,51.9,,4.5,,MOF
195,1927,11,12,1446,32.53,47.38,,6,5.6,AMB
196,1928,3,3,72054,41.4,43.4,21,,4,MEA
197,1928,3,8,1814,31.54,60.1,,,5.5,AMB
198,1928,3,24,105316,37.8,47.3,33,,4.9,KAR
199,1928,3,28,115742,40.5,46.7,33,,4.6,KAR
200,1928,4,26,154001,37.4,55.4,10,,4.8,MEA
201,1928,5,9,200130,40.5,42.7,33,,4.6,KAR
202,1928,5,13,200610,41.8,46.2,33,,4.1,KAR
203,1928,8,21,190152,36.2,58.83,33,5.3,,B77
204,1928,8,26,231621,28.7,51.9,,4.5,,MOF
205,1928,8,27,41957,28.7,51.9,,4.7,,MOF
206,1928,11,4,170509,40.7,43.8,20,,4,MEA
207,1928,11,6,134235,40,52.8,40,,5.4,ULM
208,1929,3,24,161750,41.1,43.8,25,,4.4,MEA
209,1929,4,5,174634,41.3,43.1,31,,4.2,MEA
210,1929,5,1,1537,37.73,57.81,,7.1,7.3,AMB
211,1929,5,1,224244,37.3,58.2,15,,4.6,MEA
212,1929,5,3,162001,37.7,58.2,13,,4.9,MEA
213,1929,5,4,63113,37.6,58.2,17,,4.7,MEA
214,1929,5,13,63201,38.4,57.7,10,,4.7,MEA
215,1929,5,13,132709,37.8,57.4,13,,5.6,MEA
216,1929,7,13,73630,37.5,58,57,,5.7,MEA
217,1929,7,15,744,32.08,49.48,,6.3,6,AMB
218,1929,7,25,1721,37.6,57.9,13,,5.6,MEA
219,1929,8,7,202225,35,44,33,,4.8,KAR
220,1929,9,3,1207,26.59,62.07,,5.9,5.6,AMB
221,1929,9,16,249,37.6,57.9,10,,4.6,MEA
222,1929,10,15,44522,38,42,33,,4.9,KAR
223,1929,10,27,164258,32.35,48.35,33,,5,MOF
224,1929,10,29,55339,27.5,54.5,,,5.4,MEA
225,1929,11,5,100604,37.5,45.5,33,,4.4,KAR
226,1929,11,15,141240,41.2,43.6,12,,4,MEA
227,1929,11,19,,37.5,57.9,12,,4.8,MEA
228,1929,12,24,195435,37.5,60,33,,4.5,MOF
229,1929,12,24,220530,41,49.5,33,,4.9,KAR
230,1929,12,25,3317,41.4,49.4,33,,4.6,KAR
231,1930,2,15,190706,28.7,51.9,,,,ISS
232,1930,4,3,63258,32.5,47,,,,ISS
233,1930,4,3,120840,32.5,43.7,33,,5.3,KAR
234,1930,4,15,95627,29,54,,,5.4,MEA
235,1930,4,16,212542,38,43.8,,,,ISS
236,1930,5,6,70322,37,44,33,,5.4,KAR
237,1930,5,6,2234,38.25,44.6,,7.2,7.2,A88
238,1930,5,7,44746,37,44,,,,ISS
239,1930,5,7,45840,37,44,33,,4.3,KAR
240,1930,5,7,52424,37,44,,,,ISS
241,1930,5,7,54230,37,44,33,,4.2,KAR
242,1930,5,7,92930,37,44,33,,4.5,KAR
243,1930,5,7,105825,37,44,,,,ISS
244,1930,5,7,113142,37,44,,,,ISS
245,1930,5,7,134748,37.5,45.5,33,,4.9,KAR
246,1930,5,8,52930,37.5,45.5,33,,4.8,KAR
247,1930,5,8,142330,37.7,45.2,33,,5.1,KAR
248,1930,5,8,150521,37.5,45.5,33,,5.4,KAR
249,1930,5,8,153524,37.3,44.8,33,,6,KAR
250,1930,5,8,233622,37.3,44.8,33,,4.5,KAR
251,1930,5,9,14300,37,44,33,,4.6,KAR
252,1930,5,9,8,37.5,45,33,,4.4,KAR
253,1930,5,9,2108,37.5,43.5,33,,4.5,KAR
254,1930,5,10,1103,35,46,33,,4.6,KAR
255,1930,5,10,214322,37.5,44,33,,4.7,KAR
256,1930,5,10,235920,37,44,33,,4.2,KAR
257,1930,5,11,2235,27.7,55.27,,5.8,5.8,AMB
258,1930,5,12,2115,27.5,55,,,,ISS
259,1930,5,13,201414,27.5,55,,,,ISS
260,1930,5,14,259,37.5,43.5,33,,4.3,KAR
261,1930,5,21,135051,37,44,33,,4.6,KAR
262,1930,5,23,94820,37.5,45.5,33,,5.2,KAR
263,1930,5,29,171455,37.5,45.5,33,,5.5,KAR
264,1930,6,4,72810,37.9,45.1,33,,5.3,KAR
265,1930,7,9,43542,37.1,43.2,10,,4.7,MEA
266,1930,8,3,220551,37.3,44.8,33,,5,KAR
267,1930,8,4,122050,40.8,43.7,33,,4.4,KAR
268,1930,8,21,65520,37,44,33,,4.7,KAR
269,1930,8,23,1053,27.88,55.02,,6.2,6.1,AMB
270,1930,9,2,185848,30,51.5,,,5.4,MEA
271,1930,10,2,1532,35.76,51.99,,,5.2,AMB
272,1930,10,18,10222,30.07,51.21,33,,4.5,MOF
273,1930,10,25,233425,37.9,45.1,33,,5,KAR
274,1931,2,6,52012,39.5,46.3,27,,4.3,MEA
275,1931,2,12,53307,39.5,46,12,,4.2,MEA
276,1931,4,27,1650,39.48,46.09,,6.3,6.4,AMB
