No.,Date,Time,Epicenter,,Ms,Ref.,Comment
,,,Lat.,Long.,,,
1,c.1.8 Ma,,36.11,50.78,7,BER,
2,c.38500-10000 BP,,35.82,52.11,6.5,BER,
3,c.11000 BP,,33,47.6,7,BER,
4,c.4500 BP,,36.7,49.98,6.5,BER,
5,c.4000 BP,,38,58.12,7.1,BER,
6,c.4000-3350 BP,,34.45,47.92,,BER,
7,c.3000-2800 BP,,36.82,49.48,7,BER,
8,3rd Millen.,,35.6,49.9,,AMB,
9,2nd Millen.,,38.1,58.5,,AMB,
10,c.1280 BC,,36.36,43.16,,A88,
11,c.1170 BC,,36.1,43.34,,A88,
12,11th C.BC,,34,43,,A88,
13,4th C.BC,,35.5,51.8,7.6,AMB,
14,1st C.BC,,38,58.2,,AMB,
15,c.10BC-AD10,,37.95,58.15,7.1,BER,
16,2nd C.AD,,39.8,44.6,,AMB,
17,139,,39.8,44.6,5.7,ULM,
18,224-642,,34.45,47.93,,BER,
19,293-302,,29.3,51.51,,BER,
20,427,,40.5,46.5,6.5,ULM,
21,531-579,,29.3,51.51,,BER,
22,620,,36.36,43.16,,A88,
23,628,,35.5,44.4,,AMB,
24,647,,36.53,43.24,,A88,
25,658,,30.5,47.8,,AMB,
26,c.late 7th C.,,36.23,58.77,,BER,
27,734,,31,60.5,6.5,AMB,
28,735,,39.7,45.6,6.5,AMB,
29,743,,35.3,52.2,7.2,AMB,
30,763,,33.3,59.3,7.6,AMB,
31,765,,35.2,60.4,7.5,ULM,
32,805 12 02,,29.5,60.5,7,AMB,
33,815,,29.5,60.5,7,AMB,
34,819 06,,36.4,65.4,7.4,AMB,
35,840 07,,35.2,60.4,6.5,AMB,
36,840,,31.3,48.8,6.5,AMB,
37,849,,34.3,62.2,5.3,AMB,
38,853,,36.2,58.8,5.8,ULM,
39,855,,38.1,46.3,5.3,ULM,
40,855,,35.6,51.5,7.1,AMB,
41,856 12 22,,36.2,54.3,7.9,AMB,
42,857,,,,,AMB,Fars
43,858,,38.1,46.3,6,AMB,
44,859,,36.2,54.3,,AMB,
45,859,,33.2,44.6,5,AMB,
46,863 02 13,,40,44.6,5.2,AMB,
47,864 01,,35.7,51,5.3,AMB,
48,872 06 21,,33.11,47.15,,BER,
49,872 06 22,,33.2,47.2,6.8,AMB,
50,874 11~12,,37.16,55.28,6,BER,
51,881 10,,33.3,44.4,,AMB,
52,893 12 24,24,40,44.6,6,AMB,
53,894 01 06,,37.7,47.5,7.7,ULM,
54,902 06,,33.3,44.4,,AMB,
55,906 04,,39.7,45,6.1,AMB,
56,912 05,,32,44.4,,AMB,
57,914 04,,40,64,6.1,ULM,
58,940 08 20,,38,58.3,7.1,ULM,
59,942 06,,39.5,64,6.7,ULM,
60,943 08,,37.6,57,7.6,AMB,
61,956,,34.8,48.1,5.3,AMB,
62,957,,41.5,49,5.5,ULM,
63,958 02 23,,36,51.1,7.7,AMB,
64,958 04,,34.5,45.9,6.4,AMB,
65,973 09,,32.2,46.3,,AMB,
66,977 11,,33.3,44.4,,AMB,
67,978 06 17,,27.7,52.3,5.3,AMB,
68,986 11,,36.2,48.1,6.1,ULM,
69,987 11,,34.8,48.5,5.9,ULM,
70,10th C.,,29.3,51.51,,BER,
71,1008 04 27,18,34.6,47.4,7,AMB,
72,1008,,27.7,52.3,6.5,AMB,
73,1042 11 04,18,38.1,46.3,7.6,AMB,
74,1046,,40.5,43.5,6.3,ULM,
75,1052 06 02,,36.2,57.7,7,AMB,
76,1052,,31.5,50,6.8,AMB,
77,1052,,36.6,50.3,6.8,BER,
78,1085 05,,30.6,50.3,5.8,BER,
79,1058 12 08,18,34.3,44.7,6.4,AMB,
80,1063 12,,32.2,46.3,,AMB,
81,1066 05,,33.9,59.2,6.5,AMB,
82,1072 01 20,6,33.3,44.4,,AMB,
83,1085 05,,30.7,50.3,5.8,AMB,
84,1087 11,,34.8,48.5,5.9,AMB,
85,1088 04 22,,41.4,43.2,5.4,ULM,
86,1088 04 23,,41.4,43.3,6,ULM,
87,1094 02,6,33.3,44.4,,AMB,
88,1101,,36,59,6.5,ULM,
89,1102,,36.3,54.1,,AMB,
90,1102 02 28,18,34.4,62.2,5.3,AMB,
91,1107 09,,34.6,47.4,6.5,AMB,
92,1111,,38.5,43.4,6.5,ULM,
93,1118 04 03,6,,,5.9,AMB,West Zagros
94,1119 12 10,18,35.7,49.9,6.5,AMB,
95,1122,,40.3,46.3,6.1,ULM,
96,1127,,36.3,53.6,6.8,AMB,
97,1130 02 27,18,33.6,45.7,6.8,AMB,
98,1132,,40.5,43.5,6,ULM,
99,1135 03,6,33.3,44.4,,AMB,
100,1135 07 25,,36.1,45.9,6.1,AMB,
101,1135 08 13,24,36.1,45.9,6.4,AMB,
102,1139 09 30,,40.3,46.2,7.3,ULM,
103,1144 05 29,24,33.3,44.4,,AMB,
104,1145,,36.2,58.8,5.3,AMB,
105,1150 04 01,12,34.5,45.9,5.9,AMB,
106,1156 02,,,,,AMB,North Iraq
107,1175,,37.5,65.5,7.1,ULM,
108,1177 05,,35.7,50.7,7.2,AMB,
109,1179 04 29,18,36.5,44.1,6.6,AMB,
110,1191,,34.8,48.5,,AMB,
111,1194 03,,32,44.3,5,AMB,
112,c.12th C.,,31.29,56.28,,BER,
113,1208,,38.7,42.5,6.7,ULM,
114,1208,,36,58.8,6.2,ULM,
115,1208,,42,60,6.1,ULM,
116,1209,,36.05,59.22,7.3,BER,
117,1226 11 18,6,35.3,46,6.5,AMB,
118,1235,,40.6,46.2,5.7,ULM,
119,1238,,34.3,58.7,5.3,AMB,
120,1250,,41.6,47.2,5.7,ULM,
121,1251,,36.2,58.8,5.3,AMB,
122,1252,,33.3,44.4,,AMB,
123,1261,,41.4,43.2,5.3,ULM,
124,1267,,36,58.8,5.8,ULM,
125,1270 10 07,12,36.2,58.8,7.1,AMB,
126,1273 01 18,,38.13,46.28,6.5,BER,
127,1275 04 14,,41.9,44.6,6.7,ULM,
128,1280,,36.1,58.8,5.8,ULM,
129,1283 04 17,,41.7,43.6,6.8,ULM,
130,1301,,36.1,53.2,6.7,AMB,
131,1304 11 07,24,38.5,45.5,6.7,AMB,
132,1305 04 16,,,,,AMB,Azarbayejan
133,1308,,39.4,46.2,6.1,ULM,
134,1310,,35.6,46.1,5.3,AMB,
135,1316 01 05,,33.5,49.4,6.2,AMB,
136,1318,,41.8,44.6,5.5,ULM,
137,1319,,39.1,44.5,5.3,AMB,
